Carpaccio to danie kuchni:;Włoskiej;Francuskiej;Portugalskiej;Hiszpańskiej;
Jak nazywał się wokalista zespołu Joy Division?;lan Curtis;Jack Porter;Harvey Penn;Larry Brown;
Jak się nazywa debiutancki album Luxtorpedy?;Luxtorpeda;Robaki;Buraki cukrowe;A morał tej historii mógłby...;
Jaki zespół nagrał piosenki “Barcelona”, “Dla Ciebie”‘?;Pectus;Feel;Leszcze;Bracia;
Kiedy zmarł gitarzysta zespołu Iggy & The Stooges Ron Asheton?;W 2009 r.;W 1995 r.;W 2000 r.;W 2003 r.;
Kto jest wokalistą zespołu Thirty Seconds to Mars?;Jared Leto;John Lato;Jored Leto;John Lenon;
Kto jest wykonawcą piosenki “DNA”?;Little Mix;Selena Gomez;Austin Monroe;Katy Perry;
Kto wydał album “Elliminati”?;Tede;Paluch;O.S.T.R;B.O.K;
Kto wykonuje piosenkę “She Looks So Perfect’”?;5 Seconds of Summer;One Direction;Ariana Grande;Rihanna;
Która piosenkarka nie jest blondynką?;Marina Łuczenko;Britney Spears;Kasia Cerekwicka;Taylor Swift;
Który z poniższych raperów jest wykonawcą utworów: “Started From The Bottom”, “Worst Behaviour” oraz “Find Your Love”?;Drake;Pezet;Jay-Z;Lil Wayne;
Który zespół nagrał piosenki: “I Don’t Want To Miss A Thing”, “Cryin” i “Crazy”?;Aerosmith;Queen;Guns N'Roses;Bon Jovi;
Który zespół nagrał utwory: “Bohemian Rhapsody”, “Don’t Stop Me Now” i “I Want To Break Free”?;Queen;ABBA;The Beach Boys;Journey;
Który zespół wydał płytę “Ficca”?;Virgin;Perfect;Myslovitz;Coma;
Małgośka”, “Kolorowe jarmarki”, “Niech żyje bal” to hity:;Maryli Rodowicz;Justyny Steczkowskiej;Sylwii Grzeszczak;Alicji Majewskiej;
Pierwszym wokalistą zespołu Marillion był:;Doug Irvine;Phil Collins;Morrissey;Steve Hogarth;
Pseudonim rapera Piotra Szmidta brzmi:;Ten Typ Mes;Zeus;Mada;Bonus BGC;
W jakim kraju urodziła się Ewa Farna?;Czechy;Polska;Szwajcaria;Niemcy;
W którym roku odbył się pierwszy Przystanek Woodstock organizowany przez Fundacje Wielkiej Orkiesty Świątecznej Pomocy?;1995;1993;2000;1997;
W którym roku urodził się Austin Mahone?;W 1996;W 1981;W 1987;W 2000;
Z gry na jakim instrumencie znany jest Leszek Możdżer?;Na pianinie;Na gitarze;Na flecie;Na skrzypcach;
Z jakiego kraju pochodzi hit “Dragostea din tei”?;Z Mołdawi;Z Armenii;Z Ukrainy;Z Chorwacji;
Jak nazywa się antynagroda przyznawana najgorszym ﬂlmom, która “uzupełnia” Oscary?;Złota Malina;Węże;Zgniły pomidor;Brutus;
Krzysztof Jarzyna ze Szczecina to postać z jakiego polskiego ﬁlmu?;Poranek kojota;Róża;Pokłosie;Potop;
Kto odmówił przyjęcia Oscara dla najlepszego aktora w 1972 roku?;Marlon Brando;Robert de Niro;Al Pacino;Woody Allen;
Kto wyreżyserował ﬁlm “Dług”?;Krzysztof Krauze;Zygmunt Freud;Grzegorz Markowski;Bolesław Leśmian;
Kto zagrał główną rolę w ﬁlmie “Żółty szalik”?;Janusz Gajos;Bogusław Linda;Wojciech Pszoniak;Dustin Hoffman;
Kto zagrał Jacka Olszewskiego w ﬁlmie “Nad życie” (2012)?;Michał Żebrowski;Piotr Adamczyk;Jakub Wesołowski;Paweł Małaszyński;
Który z następujących aktorów otrzymał Oscara za główną rolę w filmie “Yankee Doodle Dandy”?;James Cagney;Michael Douglas;Sean Penn;George C. Scott;
W jakim ﬁlmie wystąpiła Britney Spears?;Crossroads. Dogonić marzenia;Wredne dziewczyny;LOL;Ostatnia wiosna;
W jakim ﬁlmie z 2000 roku zagrali razem Nicolas Cage i Angelina Jolie?;60 sekund;Zły porucznik;Miasto aniołów;Salt;
W którym ﬁlmie NIE zagrał Michael Fassbender?;Anna Karenina;Głód;Centurion;300;
W podróż do jakiego miasta udają się główni bohaterowie ﬁlmu “Gwiazd naszych wina”?;Amsterdamu;Paryża;Rzymu;Londynu;
Jakie jest prawdziwe imię rywalki Batmana “Poison Ivy”?;Dr Pamela Lillian Isley;Dr Angela Kyle;Dr Lily Woodstock;Dr Ivy Quinnzel Palmer;
Kim jest autor serii “Watchmen” i “V jak Vendetta”?;Alan Moore;Sergio Aragones;Carl Barks;Frank Miller;
Kto jest głównym bohaterem komiksu “Cygara Faraona” z 1932 r.?;Tintin;Kerry Drake;Fantom;Tarzan;
Ukochaną którego superbohatera była Pepper Potts?;Iron Mana;Spider-Mana;Hulka;Thora;
W jakim mieście mieszka Johnny Bravo?;Aron City;Philadelphia;Acme City;Boston;
Co to jest batyskaf?;Łódż podwodna przeznaczona do dużych głębokości;Hangar;Ciężarówka;Platforma wiertnicza;
Czym jest baksztag?;Częścią olinowania na jachcie;Kutrem do stawiania sztagów;Silnikiem spalinowym;Częścią tylnią liny masztowej;
Ile mierzy najwyższy budynek świata (Burj Khalifa)?;828 metrów;780 metrów;850 metrów;905 metrów;
Jak nazywani są chińscy astronauci?;Taikonauts;Kosmonauts;Spationauts;Omninauts;
Jaki kolor ma zazwyczaj czarna skrzynka w samolocie?;Pomarańczowy;Biały;Różowy;Czarny;
Jakie dokładne wymiary ma kartka A4?;210 x 297 mm;30 x 20 cm;3,1 x 2,6 dm;149 x 560 mm;
Która ﬁrma stworzyła kultową serię gramofonów SL-1200/1210?;Technics;Stanton;Denon;Pioneer;
Która marka nie produkuje ciągników?;Jaguar;Lamborghini;John Deere;Massey Ferguson;
Który nie jest statkiem kosmicznym?;Erenzy Lo;Redstone;GSLV-III;Minotaur II;
Który producent telewizorów pochodzi z Niemiec?;Grundig;Philips;Samsung;Panasonic;
Pierwsza maszyna przędzalnicza nosiła nazwę:;Spinning Jenny;Twisted Kate;Twisted Lucy;Crazy Alice;
W ile dni Apple sprzedał pierwsze cztery miliony telefonu iPhone 45?;W 3 dni;W 7 dni;W 9 dni;W 14 dni;
W jakim kraju znajduje się główna siedziba firmy Google?;USA;Kanada;Polska;Rosja;
W jakim mieście znajduje się Sky Tower?;We Wrocławiu;W Warszawie;W Krakowie;W Poznaniu;
W którym kraju siedzibę ma producent samolotów Airbus?;Francja;Japonia;USA;Wielka Brytania;
W którym roku uruchomiono wyszukiwarkę Google?;W 1998 r.;W 2000 r.;W 2001 r.;W 1995 r.;
Z jaką dziedziną związana jest teoria Knothego-Budryka?;Górnictwo;Fizyka kwantowa;Biotechnologia;Bioastronautyka;
Z jakich satelitów korzysta telewizja Cyfrowy Polsat?;Hot Bird;PolsatPL;Astra1;Astra2;
Z jakiego kraju pochodzi firma Lenovo?;Chiny;USA;Korea Południowa;Japonia;
Zjawisko piezoelektryczności zostało odkryte przez:;Braci Curie;Allessandro Volt;Andre Ampere;Woldemar Voigt;
Jak ma na imię syn Roberta Więckiewicza?;Konstanty;Ambroży;Patryk;Robert;
Jak nazywa się marka Joanny Przetakiewicz?;La Mania;Gracia;Dracco;Poligloria;
Jak nazywa się prowadząca programu emitowanego na antenie TVN Style “O tym się mówi”‘?;Ana Wendzikowska;Anna Guzik;Magda Mołek;Agnieszka Szulim;
Jaki pseudonim sceniczny przyjął Adam Darski?;Nergal;Piasek;Behemot;Mieczu;
Kim są autorzy bloga “Aś my wczoraj dali”?;Polonistami;Fizykami;Matematykami;Informatykami;
Kto był właścicielem Australia Zoo, który zmarł po tym, jak płaszczka ugodziła go w pierś?;Steve Irwin;Steve Berlin;Steve Marvin;Steve Merlin;
Kto jest inspiracją modową dla autorki bloga “Macademian Girl”?;Anna Dello Ruso;Sarah Jessica Parker;Sienna Miller;Anna Wintour;
Który kraj wygrał Konkurs Piosenki Eurowizji w 2010 roku?;Niemcy;Norwegia;Szwecja;Rosja;
Który z polskich reżyserów otrzymał Oscara?;Andrzej Wajda;Krzysztof Zanussi;Jerzy Kawalerowicz;Jerzy Hoffman;
Na wybiegu w jakim mieście zadebiutowała Anja Rubik?;Mediolan;Paryż;Tokio;Nowy Jork;
O czym pisze autorka bloga whiteplate?;O gotowaniu;O literaturze;O modzie;O restauracjach;
Z kim w ﬁnale programu “Mam talent” przegrał Kamil Bednarek?;Z Magdaleną Welc;Z Melkart Ball;Z Marcinem Wyrostkiem;Z Kacprem Sikorą;
Z którym aktorem spotykała się Joanna Krupa?;Jensen Ackles;Paul Wesley;Jared Leto;Jonathan Rhyn Meyers;
Chłopiec niosący snop” oraz “Żydowka z pomarańczami” to dzieła polskiego malarza:;Aleksandra Gierymskiego;Wojciecha Kossaka;Jana Matejka;Zdzisława Beksińskiego;
Dzieło Charlesa-François Lebœufa “Umierająca Eurydyka” to:;Rzeźba;Balet;Obraz;Opera;
Ile lat miał William Szekspir gdy umarł?;52;69;38;86;
Jaki styl reprezentował amerykański malarz Mark Fłothko?;Color field painting;Action painting;Neoplastycyzm;Postimpresjonizm;
Jan Matejko był:;Malarzem;Pisarzem;Aktorem;Śpiewakiem operowym;
Kiedy urodził się Pablo Picasso?;W 1881 r.;W 1814 r.;W 1865 r.;W 1903 r.;
Kto jest autorem słynnego fresku “Szkoła Ateńska”, który znajduje się w Pałacu watykańskim?;Rafael;Boccaccio;Michał Anioł;Leonardo da Vinci;
Kto namalował obraz “Sabat Czarownic”, który należy do cyklu czarnych obrazów tego artysty?;Francisco Goya;Jan Matejko;Salvador Dali;Ignacy Piotrowski;
Kto napisał operę “Dziewczyna ze Złotego Zachodu” z 1910 roku?;Giacomo Puccini;Aaron Copland;Leonard Bernstein;Richard Wagner;
Który dom mody znany jest z butów z czerwonymi podeszwami?;Christian Louboutin;Gucci;Manolo Blahnik;Chanel;
W jakim mieście rozgrywa się akcja opery “Carmen”‘?;W Sewilli;W Gironie;W Barcelonie;W Madrycie;
Co jest prawdą o serialu “Zakazane imperium”‘?;Akcja mszy się w Atlarnic City;Nie lubi go Barack Obama;Powstał dla publicznej telewizji;Głównym bohaterem jest służący;
Ile lat miała Wiktoria Consalida z serialu “Na dobre i na złe” gdy urodziła swoje dziecko?;15;20;14;32;
Jak nazywa się fima ubezpieczeniowa, z której została wyrzucona Agata Przybysz w “Prawie Agaty”‘?;Prospectrum;Prospectra;Meritum;Turinum;
Jak nazywa się padawan Anakina Skywalkera w serialu “Gwiezdne wojny Wojny klonów”?;Ahsoka Tano;Bariss Offee;Lux Bonteri;Steela Gerera;
Jaki tytuł ma serial animowany science ﬁction stworzony przez Matta Groeninga?;Futurama;Portlandia;Bongo Comics;Puturistix;
Jakie przezwisko ma Wiktor Waszak W serialu “Twarzą w twarz”?;Ważka;Motyl;Tymon;Ptaku;
Kto grał Brendę w serialu “Beverly Hills 90210”?;Tori Spelling;Sarah Michelle Gellar;Tiffani Thiessen;Shannen Doherty;
Który aktor gra męża Kitty Walker, Roberta McCallistera, w serialu “Bracia i siostry”?;Rob Lowe;John Lee;Ed Westwick;Patrick Dempsey;
Na co chorowała matka Meridith Grey w serialu “Chirurdzy” (Grey’s Anatomy)?;Alzheimera;Stwardnienie rozsiane;Raka;Reumatyzm;
Tom Hanka był jednym z producentów serialu “Kompania braci”. Kto jeszcze był odpowiedziainy za produkcje tego serialu?;Steven Spielberg;Ridley Scott;Martin Scorsese;Steven Soderbergh;
W jakim mieście rozgrywa się akcja serialu “Prawo Ulicy”?;Baltimore;Seattle;Nowy Jork;Los Angeles;
W jakim mieście toczy się akcji serialu “Komisarz Alex”?;Łódź;Wrocław;Warszawa;Kraków;
W którym mieście toczy się akcja serialu “Californication’”?;Los Angeles;San Francisco;Nowy Jork;San Diego;
W którym roku zaczęto emitować znany serial “Days of our Lives”?;W 1965 r.;W 1990 r.;W 1950 r.;W 2001 r.;
W którym serialu oglądamy grupę przyjaciół mieszkających na Upper East Side w Nowym Jorku?;Plotkara;The City;Friday Night Lights;Życie na fali;
Główny bohater gry “Uncharted” jest potomkiem:;Sir Francisa Drake’a;Mikołaja Kopernika;Krzysztofa Kolumba;Vasco da Gammy;
Ile misji jest W grze “Army of Two: Devil’s Cartel’”?;41;21;50;100;
Jak nazywa się główny bohater gry RPG akcji “Mass Effect”?;Komandor Shepard;Porucznik Collins;Admirał Fields;Sierżant Andersson;
Jak nazywał się pierwowzór Internetu?;ARPANET;Google;Elgoog;Facebook;
Jaka grecka litera widnieje W logo Wikipedii?;Omega;Gamma;Ypsilon;Alfa;
Jaki tytuł nosi gra o braciach Mario wydana na konsolę Nintendo Wii?;New Super Mario Bros. WII;Super Mario Wii;Mario Bros. Wii;Super Mario Bros. Wii;
Które z poniższych jest dodatkiem do”The Sims 3″?;Wymarzone Podróże;Nocne życie i imprezy;Dobre Życie;Życie na farmie;
Oﬂcjalna dala premiery gry “The Sims 4” w Polsce odbyła się:;We wrześniu 2014;W grudniu 2014;W październiku 2014;W listopadzie 2014;
W jakim mieście toczy się większa część akcji gry “BioShock Infinite”?;Columbia;Rapture;Caracas;Detroit;
W której grze z serii “The Elder Scrolls” przemierzany świat jest największy?;Daggerfall;Morrowind;Skyrim;Oblivion;
W którym dodatku do gry “Heroes III” pojawiają się Wrota Zywmłów?;Ostrze Armageddonu;Cień Śmierci;Dzikie Hordy;Kuźnia Przeznaczenia;
Wjakim kolorze są spodnie Mario w grze”Super Mario Bros”?;Niebieskim;Żółtym;Różowym;Zielonym;
Co mają wspólnego Jowisz, Saturn, Uran i Neptun?;To gazowe giganty;Są najbliżej słońca;Są większe niż Słońce;Znaleziono tam ślady życia;
Dla którego działu fizyki kluczowymi teoriami są twierdzenie Bella i równanie Schrödingera?;Mechanika kwantowa;Astrofizyka;Termodynamika;Optyka;
EEG to badanie;Pracy mózgu;Efektywna endoskopia głowy;Pracy serca;Efektywna endoskopia guzów;
Gaz rozweselający to:;Podtlenek azotu;Tlenek azotu;Nadtlenek azotu;Tlenek wodoru;
Jaką dziedziną nauki zajmowali się Niels Bohr, Henri Becquerel i Enrico Fermi?;Fizyką;Biologią;Genetyką;Medycyną;
Jaki kolor ma ametyst?;Fioletowy;Zielony;Pomarańczowy;Czerwony;
Jaki symbol chemiczny ma has w układzie okresowym;Hs;Hi;Hu;Ha;
Jaki symbol ma antymon?;Sb;Am;An;Sn;
Kto zabił słonia Topsy W eksperymencie 2 prądem w 1903 roku?;Thomas Alva Edison;Nikola Tesla;Georg Ohm;James Watt;
Która z poniższych jest trzecią planetą od Słońca W Układzie Słonecznym?;Ziemia;Wenus;Merkury;Mars;
Które promieniowanie ma najniższą częstotliwość fal?;Podczerwień;Rentgenowskie;Ultrafiolet;Światło widzialne;
Które z poniższych jest ﬁltrem fizycznym?;Dwutlenek tytanu;Parsol;Eusolex;Octan cynamonu;
Który z wymienionych minerałów nie jest odmianą krzemionki?;Hornblenda;Heliotrop;Jaspis;Chryzopraz;
Planetą gazową nie jest;Merkury;Saturn;Uran;Jowisz;
W której grupie cząstek elementarnych jest elektron?;Leptony;Bozony;Gluony;Kwarki;
Chrześcijaństwo jest zaliczane do religii Abrahama. Która 2 poniższych religii nie jest religią Abrahama?;Buddyzm;Islam;Judaizm;Katolicyzm;
Co nie przynosi pecha?;Skradziony zegarek;Rozsypana sól;Stłuczone lustro;Czarny kot;
Co według Nowego Testamentu stało się trzy dni po ukrzyżowaniu Jezusa Chrystusa?;Jezus zmartwychwstał;Jezus został pochowany;Jezus miał duży posiłek;Jezus wstąpił do nieba;
Dzieckiem Posejdona i nimfy Toosy był;Cyklop;Człowiek;Hydra;Satyr;
Hinduizm jest politeistyczny. Oznacza to;wielu różnych bogów;dobro i zło;nie ma nieba;wiecej niż milion praktykujących;
Jak nazywa się okres sprawowania władzy przez papieża?;Pontyfikat;Praca;Służba Papieska;Rząd;
Jak w mitologii rzymskiej nazywa się półboska istota, która kieruje losem mężczyzn, przynosi im szczęście lub niepowodzenia?;Geniusz;Janus;Virus;Kwirynus;
Jaki jest Twój znak zodiaku jeśli urodziłeś się 15 lipca?;Rak;Byk;Lew;Bliźnięta;
Jakie żydpwskie święto nazywane jest Swiętem Namioiów?;Sukkot;Chanuka;Jom Kippur;Purim;
Kim była matka minotaura według greckiej mitologii?;Pazyfae;Persefona;Hera;Demeter;
Królem której greckiej wyspy był Odyseusz, bohater wojny trojańskiej?;Itaki;Lesbos;Rodos;Krety;
Kto założył Kościół Szatana?;Anton Szandor LaVey;Kenneth Anger;Eliphas Levi;Aleister Crowley;
Który kolor liturgiczny używany jest w Wielki Piątek W Kościele rzymsko-katolickim, aby podkreślić nastrój dnia?;Czerwony;Czarny;Fioletowy;Żółty;
Który z apostołów zakończył swój żywot przez powieszenie?;Judasz;Andrzej;Marek;Jan;
Na jakiej górze został ukrzyżowany Jezus Chrystus?;Golgota;Tabor;Trzech Krzyży;Nieokreślono miejsca;
O której godzinie zmarł Jan Paweł II?;21:37;21:34;20:37;20:34;
Pod czym siedział Budda, gdy doznał oświecenia?;Drzewo figowe;Wodospad;Namiot;Dąb;
Podczas modlitwy Żydzi nie używają;Adhanu;Tałesu;Tefilinu;Jarmułki;
Puszka Pandory to symbol;Nieszczęść;Ludzkiej wiedzy;Dobra;Boskiej siły;
Rzymska bogini Wiktoria była personiﬁkacją:;Zwycięstwa;Słońca;Bogactwa;Zdrowia;
W co według przesądu należy odpukać, aby nie zapeszyć?;W niemalowane;W surowy tynk;W pusty garnek;W szklane naczynie;
Według legendy nazwa miasta Warszawa pochodzi od imion:;Wars i Sawa;Wars i Zawa;Warsz i Awa;War i Szawa;
Wśród jakiej mniejszości etnicznej w Polsce dominującymi wyznaniami są prawosławie i grekokatolicyzm?;Niebieski i zielony;Biały i pomarańczowy;Żółty i czerwony;Fioletowy i niebieski;
Boko haram to;Sekta bojówkarska;Partia rządząca w Nigerii;Nigeryjski parlament;Waluta afrykańskich krajów;
Jak inaczej nazwiemy wystawcę czeku?;Trasant;Wekslodawca;Wierzyciel;Wekslownik;
Kto był drugim najbogatszym człowiekiem świata według magazynu Forbes w 2012 roku?;Bill Gates;Bernard Arnault;Amancio Ortega;Warren Buffett;
Która z podanych NIE jest karą przewidzianą przez Kodeks Karny?;Mandat karny;Grzywna;Kara ograniczenia wolności;Kara pozbawienia wolności;
Podpisu ilu obywateli potrzeba, aby projekt aktu normatywnego w ramach Obywatelskiej Inicjatywy Ustawodawozej mogł trafić do Sejmu?;100 tys.;50 tys.;200 tys.;10 tys.;
W którym roku utworzona została Rada Europy?;W 1949;W 1955;W 1960;W 1981;
Z czym przede wszystkim wiąże się Iibertarianizm jako ideologia polityczna?;Wolność indywidualna;Wysokie podatki;Aktywna polityka walutowa;Solidarność zbiorowa;
